	temp	R	G	B
294	30400.0	0.3741	0.4916	1.0
295	30500.0	0.3738	0.4914	1.0
296	30600.0	0.3735	0.4911	1.0
297	30700.0	0.3733	0.4909	1.0
298	30800.0	0.373	0.4906	1.0
299	30900.0	0.3728	0.4904	1.0
300	31000.0	0.3726	0.4902	1.0
301	31100.0	0.3723	0.4899	1.0
302	31200.0	0.3721	0.4897	1.0
303	31300.0	0.3718	0.4895	1.0
304	31400.0	0.3716	0.4893	1.0
305	31500.0	0.3714	0.489	1.0
306	31600.0	0.3711	0.4888	1.0
307	31700.0	0.3709	0.4886	1.0
308	31800.0	0.3707	0.4884	1.0
309	31900.0	0.3704	0.4881	1.0
310	32000.0	0.3702	0.4879	1.0
311	32100.0	0.37	0.4877	1.0
312	32200.0	0.3698	0.4875	1.0
313	32300.0	0.3695	0.4873	1.0
314	32400.0	0.3693	0.4871	1.0
315	32500.0	0.3691	0.4869	1.0
316	32600.0	0.3689	0.4867	1.0
317	32700.0	0.3687	0.4864	1.0
318	32800.0	0.3684	0.4862	1.0
319	32900.0	0.3682	0.486	1.0
320	33000.0	0.368	0.4858	1.0
321	33100.0	0.3678	0.4856	1.0
322	33200.0	0.3676	0.4854	1.0
323	33300.0	0.3674	0.4852	1.0
324	33400.0	0.3672	0.485	1.0
325	33500.0	0.367	0.4848	1.0
326	33600.0	0.3668	0.4847	1.0
327	33700.0	0.3666	0.4845	1.0
328	33800.0	0.3664	0.4843	1.0
329	33900.0	0.3662	0.4841	1.0
330	34000.0	0.366	0.4839	1.0
331	34100.0	0.3658	0.4837	1.0
332	34200.0	0.3656	0.4835	1.0
333	34300.0	0.3654	0.4833	1.0
334	34400.0	0.3652	0.4831	1.0
335	34500.0	0.365	0.483	1.0
336	34600.0	0.3649	0.4828	1.0
337	34700.0	0.3647	0.4826	1.0
338	34800.0	0.3645	0.4824	1.0
339	34900.0	0.3643	0.4822	1.0
340	35000.0	0.3641	0.4821	1.0
341	35100.0	0.3639	0.4819	1.0
342	35200.0	0.3638	0.4817	1.0
343	35300.0	0.3636	0.4815	1.0
344	35400.0	0.3634	0.4814	1.0
345	35500.0	0.3632	0.4812	1.0
346	35600.0	0.363	0.481	1.0
347	35700.0	0.3629	0.4809	1.0
348	35800.0	0.3627	0.4807	1.0
349	35900.0	0.3625	0.4805	1.0
350	36000.0	0.3624	0.4804	1.0
351	36100.0	0.3622	0.4802	1.0
352	36200.0	0.362	0.48	1.0
353	36300.0	0.3619	0.4799	1.0
354	36400.0	0.3617	0.4797	1.0
355	36500.0	0.3615	0.4796	1.0
356	36600.0	0.3614	0.4794	1.0
357	36700.0	0.3612	0.4792	1.0
358	36800.0	0.361	0.4791	1.0
359	36900.0	0.3609	0.4789	1.0
360	37000.0	0.3607	0.4788	1.0
361	37100.0	0.3605	0.4786	1.0
362	37200.0	0.3604	0.4785	1.0
363	37300.0	0.3602	0.4783	1.0
364	37400.0	0.3601	0.4782	1.0
365	37500.0	0.3599	0.478	1.0
366	37600.0	0.3598	0.4779	1.0
367	37700.0	0.3596	0.4777	1.0
368	37800.0	0.3595	0.4776	1.0
369	37900.0	0.3593	0.4774	1.0
370	38000.0	0.3592	0.4773	1.0
371	38100.0	0.359	0.4771	1.0
372	38200.0	0.3589	0.477	1.0
373	38300.0	0.3587	0.4768	1.0
374	38400.0	0.3586	0.4767	1.0
375	38500.0	0.3584	0.4766	1.0
376	38600.0	0.3583	0.4764	1.0
377	38700.0	0.3581	0.4763	1.0
378	38800.0	0.358	0.4761	1.0
379	38900.0	0.3579	0.476	1.0
380	39000.0	0.3577	0.4759	1.0
381	39100.0	0.3576	0.4757	1.0
382	39200.0	0.3574	0.4756	1.0
383	39300.0	0.3573	0.4755	1.0
384	39400.0	0.3572	0.4753	1.0
385	39500.0	0.357	0.4752	1.0
386	39600.0	0.3569	0.4751	1.0
387	39700.0	0.3567	0.4749	1.0
388	39800.0	0.3566	0.4748	1.0
389	39900.0	0.3565	0.4747	1.0
390	40000.0	0.3563	0.4745	1.0
